"name","phylum.x","surface","mesopelagic","bathypelagic","abyssopelagic"
"Micronephthys_sphaerocirrata","Annelida",2578,2143,1707,NA
"Microphtalmus_hamosus","Annelida",147,NA,NA,NA
"Microspio_pigmentata","Annelida",742,NA,NA,NA
"Mooreonuphis_dangrigae","Annelida",451,NA,NA,NA
"Mooreonuphis_nebulosa","Annelida",865,NA,NA,NA
"Mooreonuphis_pallidula","Annelida",646,NA,NA,NA
"Myriochele_oculata","Annelida",1874,NA,NA,NA
"Mystides_borealis","Annelida",715,NA,NA,NA
"Mytilidiphila_okinawaensis","Annelida",NA,45,20,NA
"Myxicola_infundibulum","Annelida",1728,NA,NA,NA
"Myzostoma_attenuatum","Annelida",816,NA,NA,NA
"Myzostoma_divisor","Annelida",658,683,NA,NA
"Myzostoma_willemoesii","Annelida",NA,1969,NA,NA
"Naineris_bicornis","Annelida",239,NA,NA,NA
"Naineris_grubei","Annelida",764,NA,NA,NA
"Naineris_laevigata","Annelida",1935,NA,NA,NA
"Naineris_setosa","Annelida",552,NA,NA,NA
"Namalycastis_abiuma","Annelida",535,NA,NA,NA
"Neanthes_caudata","Annelida",2075,NA,NA,NA
"Neanthes_kerguelensis","Annelida",1160,NA,NA,NA
"Neanthes_succinea","Annelida",1218,NA,NA,NA
"Neanthes_unifasciata","Annelida",1986,1490,NA,NA
"Neanthes_willeyi","Annelida",250,NA,NA,NA
"Nematonereis_hebes","Annelida",2331,NA,NA,NA
"Neoamphitrite_affinis","Annelida",1747,1114,NA,NA
"Neoamphitrite_edwardsi","Annelida",321,NA,NA,NA
"Neodexiospira_pseudocorrugata","Annelida",1771,NA,NA,NA
